common_phrases,common_words
"('plan ahead', np.float64(1.0))","('make', 4)"
"('video honey', np.float64(0.4472135954999579))","('one', 4)"
"('video watch', np.float64(0.4472135954999579))","('know', 3)"
"('video watch video', np.float64(0.4472135954999579))","('energy', 3)"
"('watch video', np.float64(0.4472135954999579))","('like', 3)"
"('watch video honey', np.float64(0.4472135954999579))","('husband', 3)"
"('attract want', np.float64(0.3333333333333333))","('1602', 2)"
"('box pretzels', np.float64(0.3333333333333333))","('gon', 2)"
"('box pretzels attract', np.float64(0.3333333333333333))","('na', 2)"
"('complaint dragon', np.float64(0.3333333333333333))","('us', 2)"
"('complaint dragon husband', np.float64(0.3333333333333333))","('help', 2)"
"('dragon husband', np.float64(0.3333333333333333))","('lost', 2)"
"('dragon husband keeps', np.float64(0.3333333333333333))","('best', 2)"
"('husband keeps', np.float64(0.3333333333333333))","('drinks', 2)"
"('husband keeps stealing', np.float64(0.3333333333333333))","('let', 2)"
"('keeps stealing', np.float64(0.3333333333333333))","('get', 2)"
"('like sample', np.float64(0.3333333333333333))","('video', 2)"
"('like sample box', np.float64(0.3333333333333333))","('morning', 2)"
"('one complaint', np.float64(0.3333333333333333))","('everybody', 2)"
"('one complaint dragon', np.float64(0.3333333333333333))","('worth', 2)"
"('pretzels attract', np.float64(0.3333333333333333))","('going', 2)"
"('pretzels attract want', np.float64(0.3333333333333333))","('things', 2)"
"('sample box', np.float64(0.3333333333333333))","('yet', 2)"
"('sample box pretzels', np.float64(0.3333333333333333))","('two', 2)"
"('brownies desserts', np.float64(0.25819888974716115))","('last', 2)"
"('brownies desserts sweettreats', np.float64(0.25819888974716115))","('become', 2)"
"('brownies protein', np.float64(0.25819888974716115))","('tooth', 2)"
"('brownies protein proteinsnack', np.float64(0.25819888974716115))","('enamel', 2)"
"('desserts sweettreats', np.float64(0.25819888974716115))","('years', 2)"
"('gains brownies', np.float64(0.25819888974716115))","('even', 2)"
"('gains brownies desserts', np.float64(0.25819888974716115))","('teeth', 2)"
"('one thing', np.float64(0.25819888974716115))","('minutes', 2)"
"('one thing brownies', np.float64(0.25819888974716115))","('bacteria', 2)"
"('protein proteinsnack', np.float64(0.25819888974716115))","('love', 2)"
"('protein proteinsnack gains', np.float64(0.25819888974716115))","('still', 2)"
"('proteinsnack gains', np.float64(0.25819888974716115))","('brownies', 2)"
"('proteinsnack gains brownies', np.float64(0.25819888974716115))","('ahead', 2)"
"('thing brownies', np.float64(0.25819888974716115))","('soon', 2)"
"('thing brownies protein', np.float64(0.25819888974716115))","('first', 2)"
"('energy drinks', np.float64(0.21693045781865622))","('night', 2)"
"('gon na', np.float64(0.21693045781865622))","('drank', 2)"
"('drank one', np.float64(0.21199957600127206))","('feel', 2)"
"('coffee concentrate', np.float64(0.1524985703326047))","('got', 2)"
"('coffee concentrate really', np.float64(0.1524985703326047))","('sale', 2)"
"('concentrate really', np.float64(0.1524985703326047))","('house', 1)"
"('concentrate really got', np.float64(0.1524985703326047))","('customer', 1)"
"('different flavor', np.float64(0.1524985703326047))","('benefiting', 1)"
"('different flavor sale', np.float64(0.1524985703326047))","('taylor', 1)"
"('dollars say', np.float64(0.1524985703326047))","('assume', 1)"
"('dollars say normal', np.float64(0.1524985703326047))","('look', 1)"
